Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,Oil density,Oil recovery factor,Condensate recovery factor,Gas recovery factor
GUANGLI,SHAHEJIE (SHA-4),CHINA,FAR EAST,BOHAI,EXTENSION,37.4167,118.7499,SINOPEC,ONSHORE,OIL,MATURE PRODUCTION,RIFT,2423.1,PALEOGENE,SILTSTONE,90.0,12.3,24.0,681.0,887.1473354231974,0.4,,
GUDAO,GUANTAO,CHINA,FAR EAST,BOHAI,EXTENSION,37.8667,118.7499,SINOPEC,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,1105.8,NEOGENE,SANDSTONE,237.0,26.4,33.0,1500.0,959.3220338983051,0.32,,
GULLFAKS,BRENT,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION,61.1797,2.2121,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,1512.0,JURASSIC,SANDSTONE,294.0,157.5,30.0,1000.0,829.9120234604105,0.65,,
GULLFAKS,STATFJORD,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION,61.1797,2.2121,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,1656.0,TRIASSIC-JURASSIC,SANDSTONE,189.0,118.2,26.0,1000.0,829.9120234604105,0.6,,
HAFT KEL,ASMARI,IRAN,MIDDLE EAST,ZAGROS,,31.4333,49.55,NIOC,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,840.3,PALEOGENE-NEOGENE,DOLOMITIC LIMESTONE,265.2,202.5,,1.0,834.8082595870206,0.26,,0.45
HALIBUT-COBIA,LATROBE (M1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION,-38.3989,148.3164,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION,2152.5,PALEOGENE,SANDSTONE,151.5,36.0,20.0,1600.0,810.888252148997,0.71,,
HANDIL,BALIKPAPAN,INDONESIA,FAR EAST,KUTAI,INVERSION,-0.8425,117.2786,TOTAL,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION,204.0,NEOGENE,SANDSTONE,3750.0,390.0,18.0,200.0,857.5757575757575,0.5,,0.83
HARMATTAN EAST,TURNER VALLEY (RUNDLE POOL),CANADA,NORTH AMERICA,WESTERN CANADA,,51.7569,-114.4351,SHELL,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,FORELAND,2475.0,CARBONIFEROUS,DOLOMITE,36.0,11.4,,20.0,834.8082595870206,0.365,,0.772
HARMATTAN-ELKTON,TURNER VALLEY (RUNDLE C POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.6624,-114.429,BP AND OTHERS,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,FORELAND,2625.0,CARBONIFEROUS,DOLOMITE,42.0,21.0,12.0,125.0,844.776119402985,0.42,,0.7440000000000001
HARTZOG DRAW,SHANNON,USA,NORTH AMERICA,POWDER RIVER,,43.9224,-105.9864,XTO ENERGY,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2700.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,21.0,6.0,,12.0,844.776119402985,0.31,,
HATTERS POND,NORPHLET,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,30.8976,-88.066,CHEVRON,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SALT,5415.0,JURASSIC,SANDSTONE,105.0,60.0,10.4,0.5,762.8032345013477,,0.57,0.55
HAWK POINT,UPPER MINNELUSA (B SAND),USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,44.0263,-105.5474,NIELSON and ASSOCIATES INC,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,3387.0,PERMIAN,SANDSTONE,42.0,9.0,13.0,30.0,844.776119402985,,,
HAWKINS,WOODBINE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,32.6351,-95.2209,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,SALT,1131.0,CRETACEOUS,SANDSTONE,157.5,90.0,27.0,3400.0,909.967845659164,0.66,,
HEATHER,BRENT,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,60.95,0.8833,DNO,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,2694.3,JURASSIC,SANDSTONE,63.0,33.9,10.0,20.0,852.4096385542168,0.29,,
HEERA,BASSEIN (ZONE B),INDIA,FAR EAST,BOMBAY OFFSHORE,EXTENSION,18.172,72.313,ONGC,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,1362.6,PALEOGENE,LIMESTONE,69.0,24.6,12.0,0.8,839.7626112759643,0.29,,
HEIDRUN,FANGST,NORWAY,EUROPE,MID-NORWAY SHELF,EXTENSION,65.3378,7.3096,STATOILHYDRO,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,1707.6,JURASSIC,SANDSTONE,69.0,62.1,28.0,1450.0,881.619937694704,0.71,,
HENRY,DAKOTA SANDSTONE,USA,NORTH AMERICA,GREATER GREEN RIVER,COMPRESSION,41.1334,-110.1768,CABOT OIL and GAS,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,4099.5,CRETACEOUS,SANDSTONE,105.0,5.7,14.0,43.4,779.6143250688706,,,
HIBERNIA,AVALON,CANADA,NORTH AMERICA,JEANNE D ARC,EXTENSION,46.7495,-48.7822,HIBERNIA MANAGEMENT DEVELOPMENT CO,OFFSHORE,OIL,DEVELOPING,RIFT,1988.1,CRETACEOUS,SANDSTONE,354.0,34.5,20.0,220.0,871.8422674060381,0.05,,
HIBERNIA,HIBERNIA,CANADA,NORTH AMERICA,JEANNE D ARC,EXTENSION,46.7495,-48.7822,HIBERNIA MANAGEMENT DEVELOPMENT CO,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,3267.0,CRETACEOUS,SANDSTONE,195.0,38.4,16.0,700.0,848.8302339532095,0.52,,
HIDES,IMBURU-TORO,PAPUA NEW GUINEA,FAR EAST,PAPUAN FTB,COMPRESSION,-6.0136,142.8409,OIL SEARCH LTD,ONSHORE,GAS-CONDENSATE,CONTINUING DEVELOPMENT,THRUST,2971.5,JURASSIC-CRETACEOUS,SANDSTONE,147.0,72.0,10.0,100.0,766.9376693766937,,,0.75
HOADLEY,GLAUCONITE,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,52.8481,-114.187,NUMEROUS,ONSHORE,GAS-CONDENSATE,CONTINUING DEVELOPMENT,FORELAND,1470.0,CRETACEOUS,SANDSTONE,24.0,10.5,11.0,5.0,,,,
HOUSE CREEK,SUSSEX,USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,43.7456,-105.5703,DEVON ENERGY,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2358.9,CRETACEOUS,SANDSTONE,12.0,4.5,13.0,20.0,844.776119402985,,,
HUANXILING,SHAHEJIE,CHINA,FAR EAST,BOHAI,EXTENSION,41.0249,121.7667,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,693.0,PALEOGENE,SANDSTONE,157.5,38.1,25.0,1400.0,881.619937694704,0.3,,
HUGOTON-PANHANDLE,CHASE (HUGOTON),USA,NORTH AMERICA,ANADARKO,COMPRESSION,37.0386,-101.0039,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,510.0,PERMIAN,DOLOMITE,72.0,13.5,14.0,5.0,,,,0.86
HUNTINGTON BEACH,BOLSA ZONE,USA,NORTH AMERICA,LOS ANGELES,STRIKE-SLIP,33.6998,-118.0335,NUMEROUS,ONSHORE-OFFSHORE,OIL,NEARLY DEPLETED,WRENCH,517.8,NEOGENE,THINLY-BEDDED SANDSTONE,198.0,45.6,34.0,2300.0,949.6644295302013,0.11,,
HUNTINGTON BEACH,JONES ZONE,USA,NORTH AMERICA,LOS ANGELES,STRIKE-SLIP,33.6998,-118.0335,NUMEROUS,ONSHORE-OFFSHORE,OIL,NEARLY DEPLETED,WRENCH,697.8,NEOGENE,THINLY-BEDDED SANDSTONE,210.0,112.5,28.0,400.0,924.8366013071895,0.35,,
HUTTON NORTHWEST,BRENT,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,61.1,1.3167,BP,OFFSHORE,OIL,ABANDONED,RIFT,3157.5,JURASSIC,SANDSTONE,123.0,54.0,18.0,100.0,839.7626112759643,0.26,,
IAGIFU-HEDINIA,TORO,PAPUA NEW GUINEA,FAR EAST,PAPUAN FTB,COMPRESSION,-6.4347,143.2116,CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,1525.2,CRETACEOUS,SANDSTONE,98.4,90.0,13.0,600.0,810.888252148997,,,
IDD EL SHARGI NORTH DOME,SHUAIBA,QATAR,MIDDLE EAST,RUB AL KHALI,GRAVITY,25.5,52.4,OCCIDENTAL,OFFSHORE,OIL,MATURE PRODUCTION,SALT,1314.3,CRETACEOUS,CHALKY LIMESTONE,98.4,76.8,25.0,3.0,892.7444794952681,0.34,,
INDEFATIGABLE,LEMAN SANDSTONE,UK,EUROPE,NORTH SEA SOUTHERN,INVERSION,53.3932,2.5239,SHELL /PERENCO,OFFSHORE,GAS,NEARLY DEPLETED,SUB-SALT,2220.0,PERMIAN,SANDSTONE,60.0,59.1,15.0,30.0,,,,0.84
JAMESON,COOK,USA,NORTH AMERICA,PERMIAN,,32.08,-100.6289,SUN OIL COMPANY,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1710.0,PERMIAN,THINLY-BEDDED SANDSTONE,45.0,10.5,,35.0,792.7170868347339,0.34,,
JAY,SMACKOVER,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,30.9557,-87.1783,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,SUB-SALT,4588.5,JURASSIC,DOLOMITE,105.0,30.0,14.0,35.0,775.3424657534247,0.58,,
JINGBIAN,MAJIAGOU-5,CHINA,FAR EAST,ORDOS,COMPRESSION,37.6667,108.8333,PETROCHINA,ONSHORE,GAS,DEVELOPING,FORELAND,2940.0,ORDOVICIAN,DOLOMITE,45.0,14.1,5.6,3.0,,,,0.65
JOFFRE,VIKING,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,52.283,-113.5543,VIKOR RESOURCES,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1476.3,CRETACEOUS,SANDSTONE,34.5,3.0,13.2,190.0,825.072886297376,0.44,,
JOLLIET,GG-KS SANDS,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,,27.7672,-91.516,CONOCOPHILLIPS,OFFSHORE,OIL,DECLINING PRODUCTION,SUB-THRUST,1272.0,NEOGENE,SANDSTONE,1110.0,83.1,,288.0,854.9848942598187,0.4,,
JONAH,LANCE,USA,NORTH AMERICA,GREATER GREEN RIVER,,42.4113,-109.6876,ENCANA AND OTHERS,ONSHORE,GAS,PLATEAU PRODUCTION,FORELAND,2280.0,CRETACEOUS,SANDSTONE,1050.0,126.0,,0.1,758.7131367292225,,,0.28
JUDY CREEK,SWAN HILLS (JUDY CREEK A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,54.4995,-115.4904,IMPERIAL OIL RESOURCES,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,2562.0,DEVONIAN,LIMESTONE,69.0,18.0,9.0,45.0,820.2898550724638,0.46,,
JULY,LOWER RUDEIS,EGYPT,AFRICA,GULF OF SUEZ,,28.2499,33.2499,GUPCO,OFFSHORE,OIL,MATURE PRODUCTION,SUB-SALT,2344.5,NEOGENE,SANDSTONE,270.0,155.4,,160.0,865.4434250764525,0.55,,
JULY,NUBIA C,EGYPT,AFRICA,GULF OF SUEZ,EXTENSION,28.2499,33.2499,GUPCO,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,2805.0,CAMBRIAN-ORDOVICIAN/CARBONIFEROUS,SANDSTONE,450.0,203.7,20.0,50.0,865.4434250764525,0.55,,
JUMPING POUND,TURNER VALLEY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.1425,-114.5786,SHELL,ONSHORE,GAS,NEARLY DEPLETED,SUB-THRUST,2430.0,CARBONIFEROUS,DOLOMITE,75.0,42.0,8.3,4.0,779.6143250688706,,,0.73
JUMPING POUND WEST,TURNER VALLEY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.1952,-114.8046,SHELL /ENCANA,ONSHORE,GAS,DECLINING PRODUCTION,SUB-THRUST,2961.0,CARBONIFEROUS,DOLOMITE,240.0,35.4,6.3,3.2,,,,0.68
KADI NORTH,KALOL,INDIA,FAR EAST,CAMBAY,INVERSION,23.43,72.28,ONGC,ONSHORE,OIL,REJUVENATING,RIFT,940.8,PALEOGENE,SANDSTONE,147.6,6.3,30.0,4000.0,927.8688524590165,0.32,,
KARACHAGANAK,UNNAMED,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,COMPRESSION,51.3158,53.26,KARACHAGANAK INTEGRATED ORAGANIZATION,ONSHORE,GAS-CONDENSATE,REJUVENATING,SUB-SALT,3561.0,DEVONIAN-PERMIAN,LIMESTONE,1980.0,780.0,10.0,8.0,849.8498498498498,0.33,0.43,
KARAZHANBAS,UNITS A-E,KAZAKHSTAN,FORMER SOVIET UNION,USTYURT NORTH,COMPRESSION,45.1,51.5833,NATIONS ENERGY /KARAZHANBASMUNAI,ONSHORE,OIL,REJUVENATING,WRENCH,227.4,CRETACEOUS,SANDSTONE,40.5,17.7,28.0,240.0,943.3333333333334,0.41,,
KASIM,KAIS,INDONESIA,FAR EAST,SALAWATI,COMPRESSION,-1.3253,131.0392,PETROCHINA INTERNATIONAL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,913.2,NEOGENE,LIMESTONE,168.3,36.9,21.0,38.0,839.7626112759643,0.65,,
KATNOOK,PRETTY HILL (SANDSTONE),AUSTRALIA,FAR EAST,OTWAY,INVERSION,-37.4556,140.7789,BORAL ENERGY RESOURCES LTD,ONSHORE,GAS,PLATEAU PRODUCTION,RIFT,2785.8,CRETACEOUS,SANDSTONE,66.3,18.6,14.5,8.6,779.6143250688706,,,0.93
KATY,YEGUA,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,29.8443,-95.8638,EXXONMOBIL AND OTHERS,ONSHORE,GAS-CONDENSATE,NEARLY DEPLETED,DELTA,1881.0,PALEOGENE,SANDSTONE,405.0,100.5,28.0,275.0,766.9376693766937,,0.53,0.79
KAYBOB,SWAN HILLS,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,54.5507,-116.782,CHEVRON,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2859.0,DEVONIAN,LIMESTONE,77.1,16.8,7.4,24.0,813.2183908045977,0.52,,
KELA-2,BASHJICHK,CHINA,FAR EAST,TARIM,,42.1255,82.5255,PETROCHINA,ONSHORE,GAS,UNDEVELOPED,SUB-SALT,3426.0,CRETACEOUS,SANDSTONE,285.0,198.0,,515.0,844.776119402985,,,0.75
KELAMAYI,KELAMAYI,CHINA,FAR EAST,JUNGGAR (ZHUNGEER),COMPRESSION,45.5417,84.8917,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,1830.0,TRIASSIC,CONGLOMERATE,225.0,12.9,18.0,279.0,860.1823708206687,0.26,,
KEMNITZ,HUECO,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.8909,-103.6007,TENNECO,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,3150.0,PERMIAN,LIMESTONE,36.0,18.0,9.0,9.0,829.9120234604105,,,
KF,LOWER GABUS,INDONESIA,FAR EAST,NATUNA WEST,INVERSION,4.9,106.0,STAR ENERGY,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION,705.0,PALEOGENE,SANDSTONE,450.0,9.3,21.0,85.0,775.3424657534247,0.23,,0.71
KG,GABUS-KERAS-BARAT-PASIR-ARANG,INDONESIA,FAR EAST,NATUNA WEST,INVERSION,4.9977,106.0342,STAR ENERGY,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION,780.0,PALEOGENE-NEOGENE,SANDSTONE,1740.0,56.4,23.0,180.0,797.1830985915493,0.62,,
KHAFJI,BURGAN,NEUTRAL ZONE,MIDDLE EAST,THE GULF,COMPRESSION,28.5333,48.9167,ARABIAN OIL CO,OFFSHORE,OIL,REJUVENATING,FORELAND,1417.5,CRETACEOUS,SANDSTONE,195.0,98.7,28.0,4500.0,884.375,0.4,,
KHAFJI,RATAWI LIMESTONE,NEUTRAL ZONE,MIDDLE EAST,THE GULF,INVERSION,28.5333,48.9167,ARABIAN OIL CO,OFFSHORE,OIL,UNKNOWN,FORELAND,2047.5,CRETACEOUS,LIMESTONE,165.0,51.9,22.0,17.0,860.1823708206687,,,
KHALDA,LOWER BAHARIYA,EGYPT,AFRICA,MATRUH-SHUSHAN,EXTENSION,30.8196,26.7429,KHALDA PETROLEUM,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,1755.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,30.0,10.5,20.5,70.0,834.8082595870206,0.23,,
KINABALU,STAGES IVD-IVF (KINABALU MAIN),MALAYSIA,FAR EAST,SABAH,GRAVITY,5.4296,114.6992,SHELL,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA,1521.0,NEOGENE,SANDSTONE,1605.0,439.8,22.0,280.0,847.3053892215569,0.43,,
KITTY,MUDDY,USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,44.3344,-105.6783,DEVON ENERGY AND OTHERS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2595.0,CRETACEOUS,SHALY SANDSTONE,24.0,3.6,10.0,15.0,828.4543325526931,,,
KOROBKOV,BOBRIKOV B2,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION,50.3333,44.6375,NIZHNEVOLZHSKNEFT,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1740.0,CARBONIFEROUS,SANDSTONE,19.8,9.9,20.0,460.0,825.072886297376,0.66,,
KOROBKOV,MAIN CARBONATE COMPLEX,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION,50.3333,44.6375,NIZHNEVOLZHSKNEFT,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,1320.0,CARBONIFEROUS,LIMESTONE,117.0,33.0,5.4,200.0,,,,0.92
KOROLEV,NUMEROUS,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,COMPRESSION,46.2175,53.5381,TENGIZCHEVROIL,ONSHORE,OIL,DEVELOPING,SUB-SALT,3823.8,CARBONIFEROUS-PERMIAN,LIMESTONE,1050.0,450.0,6.0,6.0,788.3008356545961,0.4,,
KOROLEV,UNNAMED,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,,46.2175,53.5381,TENGIZCHEVROIL,ONSHORE,OIL,UNDEVELOPED,SALT,514.8,CRETACEOUS,SANDSTONE,21.6,7.8,,48.0,965.8703071672355,0.18,,
KOTABATAK,BEKASAP (A SAND),INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION,0.687,101.1053,CALTEX PACIFIC,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION,1245.0,NEOGENE,SANDSTONE,105.0,60.0,17.0,393.0,881.619937694704,0.475,,
KOVYKTA,PARFENOV,RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,COMPRESSION,55.4167,106.0,RUSIA PETROLEUM,ONSHORE,GAS,UNDEVELOPED,INTRACRATONIC,1200.0,PROTEROZOIC,SANDSTONE,60.0,14.7,16.0,5.0,698.7654320987654,,,
KULESHOV,A3,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION,52.8381,51.2136,KUYBYSHEVNEFT,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1579.8,CARBONIFEROUS,SANDSTONE,21.0,13.8,20.0,177.0,801.6997167138811,0.56,,
KULESHOV,A4,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION,52.8381,51.2136,KUYBYSHEVNEFT,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1614.3,CARBONIFEROUS,LIMESTONE,99.0,22.5,18.0,195.0,801.6997167138811,0.49,,
KUPARUK RIVER,KUPARUK RIVER (UNIT C),USA,NORTH AMERICA,NORTH SLOPE,COMPRESSION,70.34,-149.5375,CONOCOPHILLIPS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1686.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,10.5,6.0,24.0,138.0,909.967845659164,0.53,,
KURTEN,WOODBINE-EAGLEFORD,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,30.786,-96.4318,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,2382.0,CRETACEOUS,SANDSTONE,90.0,7.2,9.3,0.6,832.3529411764705,0.19,,
LAGOA PARDA,LAGOA PARDA (URUCUTUCA),BRAZIL,LATIN AMERICA,ESPIRITO SANTO,EXTENSION,-19.6017,-39.8332,PETROBRAS,ONSHORE,OIL,NEARLY DEPLETED,PASSIVE MARGIN,1452.9,PALEOGENE,SANDSTONE,639.9,21.6,23.0,350.0,876.1609907120743,0.51,,
LAKE CREEK,WILCOX (G SAND),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,30.2546,-95.5906,EXXONMOBIL,ONSHORE,GAS,DECLINING PRODUCTION,DELTA,3446.1,PALEOGENE,SANDSTONE,87.0,21.0,11.0,0.4,771.1171662125341,,,0.37
LAMA,COGOLLO,VENEZUELA,LATIN AMERICA,MARACAIBO,,10.0131,-71.5985,PDVSA,OFFSHORE,OIL,DECLINING PRODUCTION,WRENCH,3720.0,CRETACEOUS,LIMESTONE,360.0,60.0,,0.1,839.7626112759643,0.2,,
LAMA,SANTA BARBARA,VENEZUELA,LATIN AMERICA,MARACAIBO,STRIKE-SLIP,10.0131,-71.5985,PDVSA,OFFSHORE,OIL,DECLINING PRODUCTION,WRENCH,2100.0,NEOGENE,SANDSTONE,18.0,9.9,25.0,400.0,865.4434250764525,0.3,,
LANWA,KALOL,INDIA,FAR EAST,CAMBAY,INVERSION,23.568,72.137,ONGC,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,861.9,PALEOGENE,SANDSTONE,44.4,9.9,30.0,5000.0,979.2387543252596,,,
LAOJUNMIAO,BAIYANGHE (GANYOUQUAN K SAND),CHINA,FAR EAST,JIUQUAN,COMPRESSION,39.7658,97.5663,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,THRUST,100.5,PALEOGENE,SANDSTONE,63.0,12.9,21.0,237.0,856.0193587416818,0.3,,
LAOJUNMIAO,BAIYANGHE (JIANQUANZI L SAND),CHINA,FAR EAST,JIUQUAN,COMPRESSION,39.7658,97.5663,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,THRUST,408.6,PALEOGENE,SANDSTONE,54.0,11.7,23.0,619.0,858.0958156458458,0.51,,
LAOJUNMIAO,BAIYANGHE (JIANQUANZI M SAND),CHINA,FAR EAST,JIUQUAN,COMPRESSION,39.7658,97.5663,PETROCHINA,ONSHORE,OIL,MATURE PRODUCTION,THRUST,459.6,PALEOGENE,SANDSTONE,63.0,24.6,17.8,24.0,863.8583638583639,0.37,,
LISBON,LEADVILLE (REDWALL),USA,NORTH AMERICA,PARADOX,GRAVITY,38.1983,-109.2767,PURE OIL COMPANY /CHEVRON,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,2187.0,CARBONIFEROUS,DOLOMITE,129.0,67.5,5.5,22.0,762.8032345013477,0.55,,
LISBURNE,WAHOO (LISBURNE),USA,NORTH AMERICA,NORTH SLOPE,,70.2425,-148.3955,BP,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,2520.0,CARBONIFEROUS,LIMESTONE,210.0,30.0,,1.0,881.619937694704,0.075,,
LITTLE BOW,GLAUCONITE (G-U-W POOLS),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,50.1951,-112.6507,MASTERS ENERGY,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1122.0,CRETACEOUS,SANDSTONE,19.8,6.0,22.0,800.0,946.4882943143813,0.25,,
LITTLE CREEK,LOWER TUSCALOOSA,USA,NORTH AMERICA,MISSISSIPPI SALT,,31.3576,-90.3754,DENBURY RESOURCES,ONSHORE,OIL,REJUVENATING,PASSIVE MARGIN,3126.0,CRETACEOUS,SANDSTONE,12.0,9.0,,100.0,829.9120234604105,0.67,,
LITTLE KNIFE,MISSION CANYON (MADISON),USA,NORTH AMERICA,WILLISTON,COMPRESSION,47.2895,-103.0985,CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,2901.9,CARBONIFEROUS,DOLOMITE,139.5,7.2,14.0,30.0,810.888252148997,0.38,,
LITTLE SAND DRAW,PHOSPHORIA (ERVAY),USA,NORTH AMERICA,BIG HORN,COMPRESSION,43.8,-108.3,CITATION OIL and GAS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1764.0,PERMIAN,DOLOMITE,30.0,19.5,15.0,2.6,844.776119402985,,,
LIUBEI,WUMISHAN,CHINA,FAR EAST,BOHAI,EXTENSION,38.2892,116.0,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,RIFT,3159.3,PROTEROZOIC,DOLOMITE,234.3,114.3,3.2,5.4,839.7626112759643,0.19,,
LIUHUA 11-1,ZHUJIANG,CHINA,FAR EAST,PEARL RIVER MOUTH,EXTENSION,20.8219,115.6985,BP /CNOOC,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,847.5,NEOGENE,LIMESTONE,468.6,39.3,25.0,651.0,937.0860927152319,0.08,,
LLOYDMINSTER AREA,SPARKY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,53.2642,-110.0276,HUSKY ENERGY,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,570.0,CRETACEOUS,SANDSTONE,17.4,9.9,30.0,2000.0,965.8703071672355,0.08,,
LLOYDMINSTER AREA,WASECA,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,53.2642,-110.0276,HUSKY ENERGY,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,570.0,CRETACEOUS,SANDSTONE,27.0,15.0,34.0,2000.0,986.0627177700347,0.08,,
LOBSTER,BULMINELLA 1 SAND,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,GRAVITY,28.101,-90.2021,MARATHON,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA,2422.5,NEOGENE,SANDSTONE,138.0,45.0,24.0,900.0,921.8241042345277,0.52,,
LOCKHART CROSSING,WILCOX (1ST WILCOX SAND),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,30.5218,-90.9141,CALLON PETROLEUM AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,DELTA,3024.6,PALEOGENE,SANDSTONE,40.5,7.8,20.0,35.0,820.2898550724638,0.46,,
LOST SOLDIER,TENSLEEP,USA,NORTH AMERICA,GREATER GREEN RIVER,,42.2392,-107.5587,MERIT ENERGY,ONSHORE,OIL,NEARLY DEPLETED,THRUST,1140.0,CARBONIFEROUS,SANDSTONE,180.0,63.0,,31.0,849.8498498498498,0.542,,
