experience,job_description,job_desig,job_type,key_skills,location,salary
2-5 yrs,,Senior MIS Executive for Domestic BPO CTC Upto 3 LPA,,"MIS, mis executive, Senior MIS Executive, senior mis analyst, MIS Reporting...",Pune,0to3
8-13 yrs,- 4+ years of experience managing product managers and designers;- Experience in building consumer ...,General Manager - Product Management,,"Marketing, Competitive Analysis, Market Research, Product Management...",Bengaluru,25to50
7-10 yrs,"- Must possess the skills of Vendor Management, Product development & Management, Cost - Negotiation, ...",Product Manager - Sourcing,,"Sales Operations, Demand Forecasting, Finance, Operations Planning...",Gurgaon,15to25
6-11 yrs,- Experience in achieving aggressive sales targets;- Willingness to travel 20\% of the time for client ...,Sales Operations Role - Internet/online,,"Sales, Sales Operations, Data Management, Pricing, CRM, CRM administration",Mumbai,10to15
4-9 yrs,"- Experience with collections Analytics, recovery, assets Management from leading banks /NBFCs / ...",Manager - Collection Analytics - BFS,Analytics,"Manager - Collection Analytics, Collection Analytics, Analytics...","Chennai, Pune",10to15
7-12 yrs,"degree in Electrical Engineer, Computer Engineering or Computer Science with at least 14+ years of ASIC ...",Lead ASIC Design Engineer/chip Lead - Synthesis/rtl,,"Physical Design, Timing Closure, Timing Analysis, Signal Integrity...",Bengaluru,25to50
6-10 yrs,6 years experience in data protection engineering or product development;BS or MS in Computer Science or ...,Data Protection Engineer,,"Automation, Python, microsoft, CCNA, VMware, SAN, Troubleshooting, MCSE...",Bengaluru,10to15
6-9 yrs,- The candidate should have analytics experience at least 5+ years in BFSI domain with sufficient ...,Manager - Credit Risk Analytics - SAS + Credit Risk,Analytics,"SAS, R, Excel, Data Analysis, Risk Analytics, SQL, FRM...",Delhi NCR,10to15
8-13 yrs,"- Experience with cross platform (MS Windows, Mac OS), cross browser (IE, Firefox, Safari, Chrome), ...",IT Web Architect - Cms/lamp,,"SEO, HTML, User Interface Designing, CSS, Javascript, JQuery, Html5...",Bengaluru,10to15
5-9 yrs,Experience with software development life cycle and Agile methodology associated deliverables;The ...,Informatica Business Analysts,,"SQL Queries, ETL, Oracle, Data Warehousing, Informatica, Pentaho...",Bengaluru,3to6
0-5 yrs,We are hiring to build a very strong technical team for the growth of our organization. We offer a very ...,Magento Developer,,"technical analysis, magento developer, magento programmer...",Ahmedabad(Makarba),6to10
6-10 yrs,Six years relevant experience with drug development statistical analysis;Must have good hands-on exp in ...,Principal or Senior Statistician(hyderabad/pune/home Based),,"Statistical Analysis, Quality Improvement, CSR Review, Randomization...","Hyderabad, Pune",15to25
7-8 yrs,,Senior Solution Engineer,,"product development, customer service, data management...",Bengaluru,6to10
3-7 yrs,"- Have 3+ yrs of experience with building backend applications, Web Apps & Analytics;- Experience in ...",Lead Backend Developer - Full Stack - Web Apps & Analytics,Analytics,"Full Stack, Web Apps, DevOps, DBMS, AWS, ML, NLP engines, REST API stack...",Bengaluru,15to25
9-14 yrs,Experience leading teams of size 15-20 members;Very good knowledge of statistical techniques such as ...,Senior Associate Vice President - Retail Analytics - Iim/isb/mdi/fms,Analytics,"Retail Analytics, Analytics, clustering, segmentation, ranking, correlation...","Gurgaon, Gurugram",25to50
8-12 yrs,"The candidate must demonstrate good analytical abilities,  attention to detail and verbal & written ...",Principal Software QA Engineer,,"SQL, Windows, Agile, Selenium, Healthcare, JIRA, Test management...",Noida,10to15
1-6 yrs,- Monitoring all channels and identifying good and bad channels as per sourcing and delinquency trends ...,Branch Credit Manager / Credit Manager,,"Credit Manager, Branch Credit Manager, Credit Underwriter...",Mumbai,3to6
2-5 yrs,Professional Experience  (in what processes and function)		3+ years of full-stack software development ...,Software Engineer,,"Full Stack Developer, Python, Django, VueJS, HTML5, JavaScript, Angularjs...",Bengaluru(Whitefield),3to6
5-10 yrs,"Good Experience of Citrix Security,  Citrix policy printer management through Citrix,  Windows profile ...",System Administrator,,"BPO, Recruitment, Ticketing, Windows, Consulting, Financial services...",Vadodara,10to15
3-6 yrs,"Experience in using deep learning, NLG, conversational agents;Experience of working on a project end-to ...",Data Scientist,Analytics,"Deep Learning, Predictive Analytics, SQL, Neural Networks, Data Science...",Gurgaon,10to15
4-7 yrs,"- 4-7 years of related experience, combination of risk, control, or audit and data analytics experience ...",Senior Consultant - Data Analytics,Analytics,"Predictive Analytics, Data Visualization, Excel, SQL, Data Analytics...",Mumbai,15to25
1-2 yrs,"Experience in a back office or data entry process, minimum 50 WPM typing speed;Graduate with good ...",Team Leader,,"Team Motivation, Training, Leadership, Feedback, Team Management...",Gurgaon(Udyog Vihar Industrial Area Phase VI),0to3
18-25 yrs,"Dear candidate,    One of the very reputed Pharmaceutical client is looking for ...",GM - Data Analytics - Mumbai,Analytics,"Data Analytics, dataanalyst, project methodology, market research, IMS data",Mumbai,25to50
1-5 yrs,"Deriving Sales from distributor, direct dealer and sub-dealer (only target dealers) basis budgeted ...",Sales Officer-bath Division(senior Sales Executive-bath Div)-ludhiana,,"Sales Executive Activities, Sales Achievement, Distribution, Selling...",Ludhiana,0to3
3-8 yrs,,Area Sales Manager & Sales Representative - State KR all Major Cities,,"sales, dealer network, market survey, market analysis, market research...","Gulbarga, Hubli, Koppal",3to6
10-15 yrs,This role holder must ensure that all activities are carried out in compliance with the Companys ...,Project Costing Engineer,,"Planning, Environment Health Safety, Estimation, Project Control...",Qatar,10to15
6-11 yrs,,Assistant Manager -3P Operation,,"Quality Control, Food Safety, Finished Products, Supply Chain...",Mumbai,6to10
15-24 yrs,Must be well versed with current market trends in terms of new materials and prices;Candidate should ...,AVP - Design & Cost Optimization ( Finishing ),,"estimation, costing, budgeting, qs, quantity surveyor, quantity surveying...",Mumbai(Lower Parel),25to50
3-6 yrs,"Prior experience in managing large cross-functional teams;Data focused decision making, good with ...",Growth Manager @ Wheelseye Technologies,,"strategic planning, competitive analysis, business planning...","Jaipur, Lucknow, Chandigarh, Varanasi, Jodhpur, Udaipur",10to15
3-5 yrs,,R&T Engineer,,"FEA, FEM, Structural Analysis, Linear analysis, non - linear analysis...",Bengaluru,10to15
2-6 yrs,- BE/MBA from Top Tier institutes with 2-4 years of experience;- The candidates with experience in ...,Senior Manager - Operations - Logistics Startup - Iit/nit/iim/bits/mdi,,"Operations, Manager - Operations, Business development, Research...",Bengaluru,10to15
12-18 yrs,,.Net Architect @ DST Worldwide Services Hyderabad,,".net, oops, C#, Architectural Design, architect, rest api, webapi, SOAP...",Hyderabad,15to25
7-8 yrs,"- Strong experience in building reusable modules, refactoring code;- Ability to define required ...",Front End Tech Lead - Javascript/jquery,,"Javascript, JQuery, HTML, CSS, Bootstrap, Angularjs, Github, GIT, Front End...",Mumbai,15to25
3-8 yrs,,"Urgent Requirement for BI Analytics, tool Tableau,bank Domain",Analytics,BI Analytics,Pune,6to10
6-11 yrs,"required, has a strong commitment to quality and accuracy and getting thing done correctly the first ...",Data Scientist - Delhi NCR,,"Text Mining, R, Time Series Analysis, Machine Learning, SAS...","Delhi NCR, Gurgaon, Noida",15to25
3-8 yrs,,Urgent Openings for Business Systems Analyst/bsa /business Analyst,,"Business Analysis, SDLC, Agile, Application Support, Problem Solving",Hyderabad,10to15
2-5 yrs,a: 7 years of application integration experience with a minimum of 2 years Mulesoft experience and 2 ...,Mule Enterprise Service Bus (esb),,"SOA, Coding, Business process, Outsourcing, Project delivery, Operations...",Bengaluru,6to10
0-1 yrs,,Business Analyst- IT,,"Client Servicing, Marketing, Business Analysis, Client Interaction...",Mohali,0to3
6-10 yrs,- Have extensive experience in developing Android and iOS native and hybrid applications;- Experience ...,Mobile Lead/ Mobility Lead - Android & iOS Applications,,"core data, android, ios, mobile application development, objective c, swift...",Hyderabad,10to15
7-10 yrs,"Proficient in model development, deep understanding of relevant legal and policy guidelines, ability to ...",AIM SBS APAC,,"Financial services, Forecasting, Predictive modeling, Customer retention...",Chennai,10to15
5-10 yrs,- Detailed understanding of local development control regulations & good network with architects ...,Technical Manager,,"valuation, finance, portfolio analysis, credit risk, financial modelling...",Mumbai,15to25
4-8 yrs,,Senior Engineer,,"STA, Timing Closure, Primetime, Timing Analysis, Synthesis, STA methodology",Bengaluru,3to6
0-1 yrs,,Walkin | Analyst E-discovery,,"E - discovery, Litigation Support, Document Review, MS Office...",Gurgaon,3to6
7-10 yrs,- 7+ years of experience in working with multiple brands in digital media industry;- Experience in ...,Head - Brand Solutions,,"Marketing, Sales, Competitor Analysis, Market Research, Events, Region...",Gurgaon,10to15
6-9 yrs,"At least 3 years of relevant work experience across Marketing, Finance or Strategy in a data analytics ...",Data Modeling Advisor,analytics,"sql, model validation, r, excel, econometrics, data analytics...",Hyderabad,10to15
8-12 yrs,Skills are typically acquired through completion of an undergraduate degree in an IT related discipline ...,Systems Administrator Analyst - Exalytics/exadata/zfs,,"san, linux, zfs, nas, windows, capacity management, server architecture...",Pune,10to15
1-4 yrs, Total Experience: 1 to 4 years ...,"Presales Opportunity in Mahape, Navi Mumbai",,"Presales, Post Sales, BDM, Business Development Management...",Navi Mumbai,0to3
1-2 yrs,"  As an analyst in the data management Team, you will be a key member of our Data analytics team. ...",Business Intelligence Data Analyst- Leading Company - Mumbai,Analytics,"Big Data Analytics, Business Analytics, BI, business intelligence",Mumbai,3to6
5-10 yrs,- Must have strong conceptual knowledge of at least one programming language;Mandatory Experience ...,Product Manager - Internet / Mobile,,"Product Development, Product Management, Process Orientation...",Delhi NCR,15to25
0-5 yrs,,Data Entry/home Base Job/ Online Work/part Time Work/freelancer work,,"part time, freelancing, data entry, present job, work from home...","Bahraich, Saharanpur, Bhubaneshwar, Nagpur, Jind, Karnal, Mathura, Alwar, Jamshedpur",3to6
5-10 yrs,,Tableau Developer,Analytics,"SQL, Data Warehousing, Business Intelligence, Tableau, Data Analytics, Data...",Noida,10to15
0-5 yrs,"Good IT skills including strong experience of Microsoft Office (Excel, Word, Outlook etc);2-4 years of ...",Email Marketing / Campaign Specialist,,"CSS, Pardot, Marketing Automation, Marketo, PSD, HTML, Javascript, Campaign...",Delhi NCR,0to3
4-6 yrs,- Experience working on an e-commerce digital platform;- Experience in managing an analytics team with a ...,Manager - Analytics - Travel/ Ecommerce,Analytics,"Data Warehousing, SQL Queries, Business Intelligence, Digital Analytics...",Mumbai,10to15
2-7 yrs,,HTML Developer/  UI Builder,,"javascript, xml, html, development, , documentation, css3, jquery mobile",Delhi,6to10
3-6 yrs,Knowledge and hands-on experience on optimization of software to run on high end servers as well as low ...,Full Stack Software Developer,,"CSS, Python, HTML, Node.Js, Redis, Angularjs, Django, MongoDB, Rabbitmq...","Delhi NCR, Gurgaon",6to10
0-4 yrs,"Prior experience working as a freelance video editor, or casual video editing experience is a good to ...",Video Editor,,"Photoshop, Illustrator, Graphic Designing, 2D Animation, Corel Draw...",Bengaluru(Whitefield),0to3
4-9 yrs,- Object Oriented (C++ or Java preferred) programming familiarity and ability to grasp/expand upon ...,Data Scientist - C++ / Java - IIT,,"C++, Algorithms, Java, Programming, Market Data, Data Scientist, Predictive...",Delhi NCR,10to15
9-14 yrs,- A minimum of three years prior experience in a similar role;- A strong academic background from a top ...,Head - Trading - Market Making/high Frequency Trading - Iit/nit/bits,,"High Frequency Trading, Banking, Head - Trading",India,25to50
5-8 yrs,Qualified Chartered Accountant with 5 to 8 of Post qualification ...,Manager - Internal Audit - CA - Big4,,"Accounting, Internal Audit, Auditing, Enterprise Risk Management, Big4...",Pune,6to10
12-18 yrs,Extensive experience with multiple software systems design tools and languages;12-18 years IT experience ...,UI Architect,,"JQuery, CSS, Javascript, Html5, Ajax, Dojo, Bootstrap, UI Development, Java...",Bengaluru,25to50
11-20 yrs,"Strong academic background - 1st /2nd class honours, minimum bachelor degree from a reputable ...",VP - Global Finance Reporting/financial Reporting - BFSI,,"accounting, finance, financial reporting, ifrs, regulatory reporting...","Chennai, Mumbai",15to25
1-5 yrs,"Should posses a PG degree in Statistics, Economics or Mathematics, or a BTech/ BE from top tier ...",Analytics Consultant,Analytics,"machine learning, r, predictive analytics, python, sales, big data...",Kolkata,6to10
4-9 yrs,4 - 7 years of experience in the market research ...,Research Consultant,,"Secondary Research, Qualitative Research, Market Research, Market Sizing...",Noida,10to15
5-8 yrs,"Proficient understanding of code versioning tools (Git, Mercurial or SVN);Experience in Advanced Data ...",Data Scientists - Machine Learning & Artificial Intelligence,,"Deep Learning, Text Mining, NLP, Html5, Python, Data Science...",Mumbai,10to15
9-14 yrs,"- Proficient in Data Science and Machine Learning, Supervised /unsupervised Learning;- Experience in ...",Data Scientist - Machine Learning - R/python/spss/minitab & SAS,,"Data Science, Machine Learning, Java, Artificial Intelligence, Python, R...",Chennai,15to25
3-8 yrs,"Experience building online services, preferably consumer-facing;Must have the ability to work ...",Product Manager - Customer Engagement,,"Marketing Automation, Product Management, Customer Engagement...",Mumbai(Vikhroli),15to25
3-8 yrs,"- 1-2+ years of hands on experience with Salesforce implementations, testing & support;- The ...",Salesforce Administrator - Testing & Support,,"sfdc, salesforce.com, salesforce, approvals, workflow, dashboards, crm...",Bengaluru,15to25
3-7 yrs,,Implementation Consultant (US Shift),,"gap analysis, process mapping, requirement analysis, client interfacing...",Bengaluru,10to15
1-5 yrs,Comprehend the customer requirement well & suggest apt resolutions;Good reasoning and analytical ...,International Technical Support | International Voice Process.,,"International Voice Process, Technical Support, Communication Skills...",Bengaluru(Electronics City Phase 1),0to3
1-3 yrs,,Walkin Drive for Python Developer @ Eclerx Service Ltd (1-3 Years ),,"web crawling, BeautifulSoup, Selenium, Flask",Pune,3to6
1-6 yrs,,SEO Executive for Company in Unitech Arcadia South City Gurgaon,,"gurgaon, delhi, SEO Analysis, seo tools, AdWords, Webmaster, ranking tools,...","Delhi NCR, Gurgaon",0to3
0-2 yrs,,Walkin Drive for Associate - Ad Operation @ Bangalore,analytics,"digital marketing, advertising, ad operations, google analytics...",Bengaluru,0to3
5-10 yrs,Item wise Bills & Certified from Client;Certification of Subcontractors ...,"Civil Engineer, Billing Engineer",,"Contractor Billing, Civil Engineering, Site Execution, Billing Engineering,...",Delhi NCR,6to10
10-12 yrs,,"Prinicipal, PSI",,"business analysis, application design, Oracle ERP, Oracle, ERP",Hyderabad,15to25
6-9 yrs,"Hands on experience in building test automation scripts, frameworks and test harness solutions using ...",Automation Test Lead,ANALYTICS,"Automation Testing, Selenium Webdriver, API Testing, SQL, JIRA, Jenkins...",Kochi,10to15
12-15 yrs,Experience atleast 10 years in managing Platform & Storage with core domain knowledge and hands-on ...,Infra. Solutions Lead,,"networking, storage, network security, high level design...",Mumbai,15to25
3-8 yrs,,Vulnerability Analyst  HYD 12 OCT 18,,"Vulnerability Management, Qualys, Nexpose, Nessus",Hyderabad(Madhapur),10to15
12-13 yrs,Experience in executing geographically distributed projects and working with culturally diverse teams ...,Hybris Architect - IBS,,"Spring Security, IOC, J2Ee, JSP, Aop, Spring Mvc, Hybris, JUnit...",Bengaluru,10to15
10-14 yrs,"Provide ongoing feedback to all the stakeholders on bench utilization,  availability of skills; need for ...",Sr-manager-hr,,"Auditing, Forecasting, Research Associate, Process improvement...",Bengaluru,15to25
8-12 yrs,Good at client and stakeholder management with excellent communication skills;Looking for candidates ...,Analytics Technology and Energy (bangalore),Analytics,"stakeholder management, Analytics Technology, SME",Bengaluru,6to10
10-15 yrs,Working experience with Global Sales and access environment;Release rate cards as and if required (for ...,Senior Access Product Manager,,"global sales, competitive analysis, product management...",Mumbai,15to25
10-12 yrs,"Digital Media Planning, Client Servicing, Audience Insights ,Awareness of digital media ecosystem and ...","GM- Digital Media ( SEM, SEO)",,"Marketing, SEO, SEM, Digital Media, Media Planning, Client Servicing...",Mumbai,15to25
10-15 yrs,"- Masters in Statistics, Mathematics, Economics, operational research field, CA, Engineer, MBA/ BE / ...",Vice President - Model Monitoring/model Development - BFSI,Analytics,"Model Monitoring, Model Development, SAS, Python, R, Analytics, Credit risk...",Delhi NCR,25to50
8-12 yrs,Should have good experience in GST and Indirect taxes;Candidate with CA / ICWA with about 8 to 10 years ...,Financial Controller (8 to 12 Years) for a Leading Automotive Tier-1,,"Accounting, Finance Control, Auditing, Financial Reporting...",Pune,15to25
3-5 yrs,"3-5 years relevant working experience;GTA, NFA), trading upon proven commercial affinity, Strategic ...",Demand Analyst,Analytics,"Data Analysis, Analytics, Time Series Analysis, Statistics, Econometrics...",Gurgaon,3to6
8-12 yrs,- Should have strong previous work experience 5 to 10 years (at least 5 years) on developing machine ...,Quantitative Analytics Manager,Analytics,"market risk, credit risk, finance, structured products, derivatives...",Mumbai,15to25
2-7 yrs,- Seeking an UI / UX designer to define the experience for CX Platform that comprises of data analytics ...,Ui/ux Designer - Photoshop/sketch,analytics,"photoshop, visual design, user research, ux, usability testing, prototyping...",Bengaluru,15to25
7-12 yrs,,Opening for Channel Manager,Analytics,"Sales Analytics, Finance, Channel Management, Distribution, Region, Working...",Mumbai,10to15
2-5 yrs,Team must be coached about the correct follow ups related to those errors;2.5 -3 yrs experience in ...,Urgent Requirement for Quality Analyst - AR Calling,,"Revenue Cycle Management, RCM, AR Calling, Accounting, Accounts Receivable,...",Hyderabad,6to10
11-14 yrs,"Strong experience in building Credit Risk Models, PD/LGD/EAD Models, CCAR Model, Loss Forecasting, ...",Vice President - CCAR Modeling - Bank,Analytics,"Lgd, Ccar, Risk Management, Risk Analytics, Risk Modeling, SAS...",Mumbai,25to50
8-12 yrs,Consultative Selling expertise with hands-on experience in market making / demand creation selling end ...,Business Development Manager - Police / Forensic Lab,,"business development management, sales, Cyber Security, Forensic...","Delhi NCR, Mumbai",15to25
5-10 yrs,"Experience monitoring, troubleshooting and tuning services and applications and operational expertise ...",Hadoop Administrator,,"Hive, Hadoop, Sqoop, Flume, Oozie, HBase, Spark, Cloudera, YARN, Big Data",Bengaluru,10to15
1-5 yrs,,HR Analyst,,"hr, policies, salary, administration, procedures, market data",Noida(Sector-132 Noida),10to15
1-6 yrs,,Walk in Drive for US Healthcare Domain || 31 Oct,,"cashposting, us healthcare, denial handling, healthcare...","Delhi NCR(Sector-24 Gurgaon), Gurgaon",3to6
4-8 yrs,"-	Proven and versatile experience in the creation of digital content including copy editing, social ...",Content Developer,,"Marketing, Copy Editing, Articles, Content Development, Media Strategy...",Gurgaon,15to25
3-5 yrs,"3-4 years of experience in HoReCa industries;Strong hand in GT with added experience of MT, HoReCa, ...",Area Sales Manager,,"Area Sales Management, Horeca, Team Management, Distribution, Key Accounts,...",Mumbai,10to15
3-5 yrs,,BI Developer- Spotfire,,"sql, java, ruby, software development methodologies, agile...",Trivandrum,3to6
0-3 yrs,- Should have excellent listening skills;- Should be able to understand American spoken English;Day ...,Call Quality Analyst,,"data entry, document review, fresher, fresher graduate...",Delhi NCR,0to3
10-12 yrs,Experience with Sharepoint 2010 development projects and use case documentation preferred;Proficient in ...,Business Analyst - Sharepoint,,"Data Modeling, Business Analysis, Business Process, Data Conversion...",Pune,10to15
3-8 yrs,"- 1 to 3 years experience doing responsible actuarial work;- Perform research, experience studies and ...",Senior Actuarial Analyst - Insurance,,"Finance, Excel, Communication Skills, Workers Compensation...",Bengaluru,15to25
5-10 yrs,- Ability to interact and maintain good rapport with clients and internal resources;- Good knowledge of ...,Senior Analyst - Broking Firm,,"Analyst - Broking, Broking, Financial Research, Asset Management",Mumbai,25to50
5-7 yrs,"Experience in server side technologies, building web applications, backend application development ;Good ...",Software Developer,,"Javascript, JSON, Rest, Node.Js, Web Application Development, NoSQL...",Pune,15to25
5-10 yrs,Associate/Senior Associate - Business Analysis/Consulting - Wealth Management   The opening ...,Associate/ Senior Associate - Business Analysis/ Consulting,,"Marketing Initiatives, Consulting, Direct Marketing, Wealth Management...",Chennai,15to25
2-6 yrs,At least 2 years of relevant work experience in building and maintaining scalable server side;Proficient ...,Python Developer,,"HTML, CSS, Javascript, MySQL, Server Side, Python, Front End, Algorithms...",Chennai,10to15
5-10 yrs,Candidate should have strong understanding of various classes of debt (secured/unsecured/subordinated ...,"Hiring for Financial Modelling, Commercial Lending team",,"Financial Modelling, DCF, Mba Finance, Valuation, Cash Flow Statement...",Delhi NCR,6to10
9-10 yrs,,ERP Systems Analyst -SAP PS,,"system design, functional analysis, application design, security systems...",Bengaluru,10to15
9-14 yrs,"More than 10 years of demonstrable experience in designing, implementing and executing International ...","Sr. Manager , MICE",ANALYTICS,"Food, SOW, Execution, Big Data Analytics, Hospitality Management...",Mumbai,3to6
0-5 yrs,,Genpact Mega Walk-in ||27th Oct,,"ites, Non Voice Process, bpo, non voice, backend, blended, non technical...",Hyderabad,0to3
10-20 yrs,"- Knowledge of Google Analytics, and technical knowledge required to sell Digital Products and online ad ...",National Head - Digital Ad & Brand Solutions,Analytics,"ad sales, revenue generation, prospecting, brand solutions...",Mumbai,25to50
0-2 yrs,,Regulatory Affairs - Fresher - B.pharma/ M.pharmacy & Lifesciences,,"regulatory affairs, life sciences, Pharma, Chemistry, Pharmacy...","Mumbai, Hyderabad, Pune, Kolkata, Ahmedabad, Bhubaneshwar",0to3
3-7 yrs,"Experience working in a client-facing technical service environment, preferably supporting web-based or ...",Web Analytics Opportunity in Hyderabad,Analytics,"Google Analytics, Ad Tags, Google Tag Manager, Doubleclick for Publishers...",Hyderabad,6to10
5-10 yrs,"Hi,  We have an exciting job opportunity for Senior Strategic Finance Analyst with Chennai & ...",Job Opportunity for Senior Strategic Finance Analyst in Chennai & Pune,,"Financial Management, Finance, Maintenance, Project Operations...","Chennai, Pune",15to25
2-4 yrs,,Software Engineer,,"documentation, analytical, product development, technical documentation...",Pune,0to3
1-6 yrs,,WFM Analyst(real TIME Analyst)-gurgaon,,"Real Time Analysis, WFM, RTA, Real Time Analyst, wfm analyst...","Gurgaon, Delhi, Delhi NCR",0to3
0-0 yrs,"Comprehend, interpret and assess news stories based on specified client requirement briefs;Excellent ...",Google - Digital Marketing-  B2B  Non Voice- Fresher only  Salary 35k,,"digital marketing, non voice, bba, bca, fresher, mba fresher, b.com, b.tech...","Delhi NCR, Pune, Chandigarh, Delhi, Faridabad, Gurgaon, Jaipur, Lucknow, Noida",3to6
2-3 yrs,1-2 years experience in Search Engine Marketing (SEM) and Search Engine Optimization (SEO);In-depth ...,SEO Executive,,"SEO, SMO, Link Building, SEM, Search Engine Optimization...",Gurgaon,3to6
8-12 yrs,"- Good team management, project management and communication (both written and verbal) skills, including ...",Assistant Vice President - Insurance Analytics,Analytics,"Insurance Analytics, R, Life Insurance, SAS, PYTHON, Logistic regression...",Gurgaon,25to50
1-5 yrs,,Senior Research Analyst,,"Research Analysis, statistical techniques, Stock Market, share market, NCFM...","Delhi NCR(Azad Pur), Delhi",0to3
0-3 yrs,,BUSINESS ANALYST,,"crm, customer relationship, options, good , sales...","Indore, Indore",0to3
0-3 yrs,*Conduct data analysis to identify passenger profile and booking behavior including no-show trends and ...,SG Walk- In- Analyst/ Sr. Analyst - Revenue Management - 3rd Oct,,"Sales, Excel Powerpoint, Operations, SQL Database, Market Intelligence...",Gurgaon,3to6
0-5 yrs,Willing to work in night shift;Fresher with good SQL knowledge are also welcome; Should have ...,SQL Developer in US MNC,,"SQL Development, MS SQL, ms sql developer, Excel, B.Tech, MCA, bca",Kolkata,0to3
6-11 yrs,Establish a good rapport with the team;Qualification:Graduate in Mathematics/ Statistics/ ...,Urgent JOB Vacancy For Clinical SAS Programmer- TEAM Manager/team Lead,,"SAS, Sdtm, Adam, Statistical Programming, Statistics, Life Sciences...","Mumbai, Bengaluru, Pune",10to15
7-12 yrs,of relevant experience;Experience in Salesforce.com customizations and Development;Excellent ...,Immediate Opening for Sr. SFDC Developer for Noida/hyderabad/banglore,,"Sr. SFDC Developer, SFDC Developer, salesforce.com developer...","Noida, Hyderabad, Bengaluru",6to10
4-7 yrs,"Monitor the training being conducted internally and externally, plan and take corrective actions ...",Cluster Trainer,,"Behavioural Training, Soft Skills, Training Needs, HR, Need Analysis...","Chandigarh, Delhi NCR",6to10
3-5 yrs,,Urgent Requirement for SEO Executive (seo/ppc/social Media),,"SEO, SEM, Search Engine Optimization, PPC, Social Media, Marketing",Pune(Kalewadi Phata),0to3
0-3 yrs,3)  Should be good at written and verbal ...,Payroll Executive,,"mis, UK Payroll, Payroll, KPO, Advanced Excel",Ahmedabad,3to6
10-20 yrs,"Should be adept at research and analysis that would help in Management Consultation;Project Management, ...",COO,,"training management, customer service delivery, business development...",Delhi,15to25
5-9 yrs,2) 5-8 years of work experience in relevant roles;3) You have experience of adhering to delivery ...,"Key Accounts Manager, BFSI Domain, Data Analytics Firm",Analytics,"key accounts, revenue generation, banking, client servicing, data analytics...",Mumbai,15to25
4-6 yrs,,Technical Writer,,"technical writing, technical documentation, information developer, dita...",Pune,10to15
0-3 yrs,Graduate Qualifications: Any Graduates or undergraduate with 6 months exp;Experience Needed: BE/B TECH/BS ...,Walk-in Event @ Rivera 4 NON Voice/ Insurance/ SAL UPTO 3lpa,,"international bpo, customer service, ites, kpo, technical support...",Bengaluru,0to3
2-4 yrs,"- 2-4 years- experience in driving business insights through large, complex data sets;- Prior experience ...",Business Analyst,Analytics,"Statistical Modeling, R, SQL, Machine Learning, SAS, Analytics...",Delhi,6to10
2-4 yrs,"Work from home full/ part time,  virtual opportunities & ...","Quality Assurance Analyst, Associate (C# Test Developer)",,"Quality Assurance Analyst, Flex, LAN, Application support, Coding...",Chennai,6to10
7-12 yrs,Experience of managing campaigns across multiple languages and countries;Experience of managing ...,Element14 Hiring - PPC Senior Manager,,"PPC, pay per click, paid search, Marketing, Digital Marketing",Bengaluru,10to15
3-8 yrs,,Automation Test Engineers(ruby + Cucumber + Bdd)-4-6 Years Exp,,"mysql, cucumber, ruby, bdd, rspec, jenkins, chef, Automation Testing",Bengaluru,15to25
1-4 yrs,,Walk in - Data Analyst / MIS Executive - Hyderabad,,"Data Analysis, Data Collection, Business Forecasting, Power Bi, Job Posting...",Hyderabad,0to3
5-8 yrs,CA/MBA from premiere institute with 5+ Years of experience in Financial Planning and Analysis role ...,Head - Financial Planning and Analysis for a Leading Insurance Client,,"fpa, financial analysis, variance analysis, financial planning",Bengaluru,10to15
8-10 yrs,8 to 10 years of experience in:;Good knowledge of Linux as Hadoop is deployed on Linux in prod ...,PIFS Managed Services Devops Senior2/3,,"SQL Server Administration, Service Delivery Management, High Availability...",Trivandrum,6to10
8-13 yrs,Develop a flair for the exploratory and experimental side of the role; required to tease out interesting ...,Data Science Manager / Sr Manager/ Head - Data Science,Analytics,"Predictive Analytics, Data Science, R, Neural Networks, Machine Learning...",Gurgaon,10to15
2-7 yrs,Should bring strong technology leadership to drive high quality work in the areas of campaign and data ...,SIS Campaign Professional,analytics,"segmentation, data profiling, data analytics, data visualization, marketing...",Bengaluru,3to6
0-1 yrs,,Associate Finance Executive,,"Finance, Investment Banking, Capital Market, Financial Operations, female...","Delhi NCR, Gurgaon, Bengaluru",0to3
8-12 yrs,,Technical Support Lead,,"Application Support, Technical Support, Root Cause Analysis...",Hyderabad,15to25
7-12 yrs,"- Hands-on experience with data science toolkits, such as R, Weka, NumPy, MATLAB, etc;- Hands-on ...",Opening for the Post of Sr Data Scientist _hinjewadi,,"data science, machine learning, algorithms, decision trees, Naive Bayes",Pune,15to25
5-10 yrs,- Candidate should work in TBL project as Quality Analyst and contribute towards project success ...,Quality Assurance Engineer - IT Products,,"Quality Assurance Engineering, Process Quality, QA, QMS, Process Capability...",Bengaluru,15to25
10-15 yrs,Experience: 10-15 years;Education: Computer Science (BE / BTech / MTech / MS) from Tier I Premier ...,Associate Consultant Guidewire,,"Agile, Scrum, Impact Analysis, Code Review, User Stories, Root Cause...",Bengaluru,15to25
4-9 yrs,Getting the product certified by govt;Getting the required approvals from govt; Experience should ...,Opportunity to work as Brand Marketing Executive in Delhi and Mumbai,,"Brand Marketing, PGDM, Mba","Mumbai, Delhi",3to6
